Periodo;Grupo;Producto;Super;Precio
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Frog;59
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Kinko;66
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Macro;61
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Micro Macro;61,16
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Red Expres;58
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Red Market;59
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Ta - Ta;61
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Tienda Inglesa;63
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Devoto;75
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Devoto Express;77
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Disco;75
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;El Clon;72
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;El Dorado;74,9
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Frog;68
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Red Expres;74
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Ta - Ta;75
Abr-25;Alimentos y bebidas;Agua de mesa con gas Nativa Envase 2 lt.;Tienda Inglesa;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Devoto;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Devoto Express;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Disco;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;El Clon;79
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;El Dorado;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Farmashop;82
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Macro;76,01
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Micro Macro;76,01
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Red Expres;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Red Market;68
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Ta - Ta;76
Abr-25;Alimentos y bebidas;Agua de mesa con gas Salus Envase 2,25 lt.;Tienda Inglesa;79
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Devoto;61
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Devoto Express;63
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Disco;61
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;El Clon;60
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;El Dorado;61
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Macro;61
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Micro Macro;61,16
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Red Expres;58
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Red Market;59
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Ta - Ta;61
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Matutina 2,5 lts;Tienda Inglesa;63
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Devoto;76
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Devoto Express;76
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Disco;76
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;El Clon;79
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;El Dorado;76
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Farmashop;82
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Macro;76,01
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Micro Macro;76,01
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Red Expres;76
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Red Market;68
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Ta - Ta;76
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Salus 2,25 lts;Tienda Inglesa;79
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Devoto;64
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Devoto Express;64
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Disco;64
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;El Clon;70
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;El Dorado;64
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Red Expres;72
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Red Market;64
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Ta - Ta;70
Abr-25;Alimentos y bebidas;Agua de mesa sin gas Vitale 2,5 lts;Tienda Inglesa;64
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Devoto;133
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Devoto Express;133
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Disco;133
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;El Clon;125
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;El Dorado;119
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Macro;119,69
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Micro Macro;119,69
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Red Expres;119
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Red Market;119
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Ta - Ta;133
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Nativa 6lts;Tienda Inglesa;133
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Devoto;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Devoto Express;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Disco;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;El Dorado;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Farmashop;150
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Macro;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Micro Macro;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Red Expres;125
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Red Market;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Ta - Ta;140
Abr-25;Alimentos y bebidas;Agua mineral sin gas(bidón) Salus 6,25lts;Tienda Inglesa;141
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Devoto;395
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Devoto Express;407
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Disco;395
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Macro;394
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Micro Macro;394
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Red Expres;299
Abr-25;Alimentos y bebidas;Aguja vacuna Con Hueso - Sin Marca 1 kg.;Red Market;309
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Devoto;299
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Devoto Express;308
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Disco;299
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Macro;447
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Micro Macro;447
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Red Expres;309
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Red Market;349
Abr-25;Alimentos y bebidas;Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Ta - Ta;289
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Disco;55
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;El Clon;37
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Frog;50
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Macro;49,13
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Micro Macro;49,13
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Red Expres;48
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Red Market;48,95
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Ta - Ta;55
Abr-25;Alimentos y bebidas;Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Tienda Inglesa;57
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Devoto;79
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Devoto Express;81
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Disco;79
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;El Dorado;75
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Kinko;75
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Red Expres;72
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Ta - Ta;75
Abr-25;Alimentos y bebidas;Arroz blanco Blue Patna Bolsa 1 kg.;Tienda Inglesa;69
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Devoto;67
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Devoto Express;75
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Disco;67
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;El Dorado;65
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Kinko;80
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Red Expres;69
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Ta - Ta;75
Abr-25;Alimentos y bebidas;Arroz blanco Green Chef Bolsa 1 kg.;Tienda Inglesa;76
Abr-25;Alimentos y bebidas;Arroz blanco Pony Bolsa 1 kg.;Red Expres;36
Abr-25;Alimentos y bebidas;Arroz blanco Pony Bolsa 1 kg.;Red Market;42,5
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Devoto;84
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Devoto Express;87
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Disco;84
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;El Clon;69
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;El Dorado;83
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Frog;84
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Kinko;86
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Macro;73,69
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Micro Macro;73,69
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Red Expres;68
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Red Market;77
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Ta - Ta;82
Abr-25;Alimentos y bebidas;Arroz blanco Saman Blanco Bolsa 1 kg.;Tienda Inglesa;85
Abr-25;Alimentos y bebidas;Arroz blanco Vidarroz Bolsa 1 kg.;Devoto;40
Abr-25;Alimentos y bebidas;Arroz blanco Vidarroz Bolsa 1 kg.;Devoto Express;56
Abr-25;Alimentos y bebidas;Arroz blanco Vidarroz Bolsa 1 kg.;Disco;40
Abr-25;Alimentos y bebidas;Arroz blanco Vidarroz Bolsa 1 kg.;El Dorado;21
Abr-25;Alimentos y bebidas;Arroz blanco Vidarroz Bolsa 1 kg.;Ta - Ta;54
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Devoto;49
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Devoto Express;51
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Disco;49
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;El Dorado;49
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Macro;42,55
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Micro Macro;45,96
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Red Expres;46
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Red Market;29,5
Abr-25;Alimentos y bebidas;Arvejas en conserva Cololó Lata 380 grs.;Ta - Ta;55
Abr-25;Alimentos y bebidas;Arvejas en conserva Nidemar Lata 300 grs.;Macro;30,24
Abr-25;Alimentos y bebidas;Arvejas en conserva Nidemar Lata 300 grs.;Micro Macro;32,66
Abr-25;Alimentos y bebidas;Arvejas en conserva Nidemar Lata 300 grs.;Red Expres;32
Abr-25;Alimentos y bebidas;Arvejas en conserva Nidemar Lata 300 grs.;Ta - Ta;30
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Devoto;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Devoto Express;57
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Disco;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;El Clon;52
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;El Dorado;27
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Macro;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Micro Macro;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Red Expres;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Red Market;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Ta - Ta;55
Abr-25;Alimentos y bebidas;Azúcar blanco Azucarlito Paquete 1 kg.;Tienda Inglesa;55
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Devoto;55
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Devoto Express;57
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Disco;55
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;El Dorado;54,9
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Macro;54,99
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Micro Macro;54,99
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Red Expres;55
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Red Market;55
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Ta - Ta;55
Abr-25;Alimentos y bebidas;Azúcar blanco Bella Unión Paquete 1 kg.;Tienda Inglesa;56
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Devoto;369
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Devoto Express;387
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Disco;369
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;El Clon;349
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;El Dorado;299
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Kinko;355
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Macro;355,53
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Micro Macro;383,98
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Red Expres;359
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Red Market;355
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Ta - Ta;361
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Chaná Paquete 250 grs.;Tienda Inglesa;406
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Saint Paquete 250 grs.;El Dorado;109,9
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Saint Paquete 250 grs.;Red Expres;199
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Saint Paquete 250 grs.;Red Market;182
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;Devoto;306
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;Devoto Express;321
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;Disco;306
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;El Clon;315
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;El Dorado;306
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;Frog;304
Abr-25;Alimentos y bebidas;Café envasado (no instantáneo) Águila Paquete 250 grs.;Macro;294,57
